	videoId	narrative	super_narrative
319	Eew9X7OwQNM	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
320	DGoN7vMXsMc	Immigrants are victims of human traffickers.	Immigrants are victims
321	RqM2cCLjsjU	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
322	MTtM53e7SDM	None	None
323	ev7zxIhdFA4	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
324	6BuJ28RAg50	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
325	ksere3R7xBc	None	None
326	Jp43gGly874	None	None
327	eJND1L13fgI	None	None
328	UypNIBHEEV4	We are being silenced	There is an unfair bias against our political camp
329	Tw1eYaWl19g	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
330	r-YDsAZUizs	There are too many immigrants coming	Immigration is out of control
331	CBloxQyptwE	Great replacement	Immigration is part of a conspiracy
332	DAET8G2-XmE	We are being silenced	There is an unfair bias against our political camp
333	_75qHYTdQlU	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
334	o4DW3MYyDDc	None	None
335	qgGKTyvTpbY	Immigrants are victims of false hope	Immigrants are victims
336	m50CPdlybwQ	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
337	q8XKifYjYeo	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
338	wxOC4TeVzqM	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
339	lV1XTTuJUIY	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
340	wTrIBn9FlD8	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
341	Zev0PZpH43E	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
342	FhnWW_lCUKA	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
343	VYn9-nYK_Ps	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
344	U4XmOXZEWNQ	None	None
345	h72AZZ_gDA8	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
346	AthTdvnui7E	Immigration is a threat to individual safety	Immigration is a threat
347	UA38vTCYIoA	Immigrants are victims of false hope	Immigrants are victims
348	RL_2EFHPF3I	Immigration is abused as a political tool	Geopolitical narratives: Countries are acting against the interest of other countries
349	tpYNXcSwJ5Q	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
350	ZhuTpyzvsYk	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
351	QO-twX2Dn8o	We are being silenced	There is an unfair bias against our political camp
352	Ct6hYxkmcj8	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
353	TJRLVOXeG1E	Our borders are strained and/or insufficiently controlled	Immigration is out of control
354	rMrm8KxtQL8	Our borders are strained and/or insufficiently controlled	Immigration is out of control
355	XwfFIuxNgAI	We represent the people	We are competent
356	7ZBdDYOQzY0	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
357	xtfSn_BpY6E	Immigrants are victims of false hope	Immigrants are victims
358	FQIow5s67sM	We are being silenced	There is an unfair bias against our political camp
359	HVPX2kDylw4	None	None
360	uLhloCpyfF8	Natives first	Immigration burdens the economy & welfare narrative
361	XTTeZKcG1xs	We stand for common sense	We are competent
362	tXqqX7Xvlew	There are too many immigrants coming	Immigration is out of control
363	ao4uOBZkrRc	Our borders are strained and/or insufficiently controlled	Immigration is out of control
364	TCXAjVOT3b4	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
365	0Me6ZrQn9D0	Our borders are strained and/or insufficiently controlled	Immigration is out of control
366	LKfjYmu0pCo	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
367	_TR1RuOBRrI	The judicial system favours political rivals and/or obstructs own political camp	There is an unfair bias against our political camp
368	zD3TQZi5zaQ	None	None
369	GxQjfvwJ7Eg	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
370	IsKL7q3kJLQ	Immigration is a threat to individual safety	Immigration is a threat
371	D8vNnIWB_7M	None	None
372	cCiss4qSVdM	Immigrants take our jobs	Immigration burdens the economy & welfare narrative
373	j1uBE4ZFbhU	None	None
374	9voYe3w4Kyk	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
375	DiFCvzUZ06E	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
376	J4cKJ4LSkzU	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
377	fIoXYVaVqbU	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
378	39N3nDu3IV4	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
379	kKPmxrLN51M	Promoting policy initiatives or ideas	We are competent
380	UUY0a3j0vFM	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
381	JWWnTlkuJoQ	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
382	fODRApeOkig	Our borders are strained and/or insufficiently controlled	Immigration is out of control
383	20Q3tWxLDdY	We are being silenced	There is an unfair bias against our political camp
384	MYOU-5RzSbM	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
385	D4Nq60aJfAY	Promoting policy initiatives or ideas	We are competent
386	SPXYFex2ar0	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
387	n58LMdogJTk	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
388	B3NHRyKI9Xo	Immigrants suffer from labour exploitation	Immigrants are victims
389	iXUgGiX9usc	None	None
390	btjKvdBFZv0	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
391	oX3SYF0zdM0	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
392	ak-Ur7HXmtE	Immigration is a threat to national security	Immigration is a threat
393	l_3rmi7kNAA	Immigrants suffer from labour exploitation	Immigrants are victims
394	qsf7ih9HIhY	Immigration is a threat to national security	Immigration is a threat
395	S8f9hPCPvF4	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
396	M2PSVyMEOhM	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
397	0wb-cYV5oT8	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
398	76L6VHXSPJw	There are too many immigrants coming	Immigration is out of control
399	VPTQIYtOGzo	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
400	zsdR06sBSIg	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
401	VEw2EFM3fm0	Immigrants are victims of human traffickers.	Immigrants are victims
402	Bt3yjHvAr28	None	None
403	ghXzubaibqA	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
404	oNMKVjnTO1w	Mainstream media are biased	There is an unfair bias against our political camp
405	Xeb6V3dfvhs	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
406	fucAmekUKAc	None	None
407	YvoWanF0G0A	None	None
408	8HbLQm9QMQw	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
409	WumjmnmFsp0	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
410	vr1V0MxtG_s	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
411	yLwk_y8nU4k	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
412	Q9o4htV1us0	Reminder that immigration is an issue	Narrative strategy to remain in the news
413	Kbs6UiE23Ss	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
414	NQPnGFzXO0g	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
415	Oj9GATgJSMU	None	None
416	UHNIGeMDtL4	None	None
417	SCBAsn0FVSU	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
418	jr_XJB_Kgto	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
419	PfTnObbJGac	Self-promotion	Narrative strategy to remain in the news
420	ZzGY4aCco-4	Immigrants are victims of human traffickers.	Immigrants are victims
421	Pi5fWGxRuho	There are too many immigrants coming	Immigration is out of control
422	dG1sjCi4Tm4	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
423	7qpHiMWBT1c	None	None
424	OeBsgd3VBmE	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
425	LMz-IOqCgSQ	We stand for common sense	We are competent
426	dc4uBew6EAk	None	None
427	M6Y0OhlsYUc	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
428	pNEKtaHdIkM	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
429	TcwvDuJ-KY0	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
430	IBEp16hBipY	Great replacement	Immigration is part of a conspiracy
431	slRly0ayfc0	There are too many immigrants coming	Immigration is out of control
432	IISn4_4bOIU	Immigrants suffer from labour exploitation	Immigrants are victims
433	vu-V2xl2bBQ	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
434	EWSv13yOtOM	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
435	E4laSTMdCpg	Immigrants are victims of human traffickers.	Immigrants are victims
436	IJq4edd5_a0	None	None
437	CRJHfwWt8kc	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
438	5edSQAwHxLU	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
439	GYGA5Z0tDdA	Applauding political allies	We are competent
440	1tck1kHMuH4	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
441	_2mdS-LP8FU	Anti-Elitism	It is Us vs. Them (the establishment)
442	FvEI1WRi5dQ	None	None
443	nQdjlCOJXho	None	None
444	WAvO1s8L6BI	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
445	61LQhzkbnsc	None	None
446	WjC0KJotidI	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
447	jFsE5g05cTI	Immigrants suffer from labour exploitation	Immigrants are victims
448	PKikIeA-ick	None	None
449	wFoWqRDl1mI	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
450	Lk1OXVLU6DQ	Reminder that immigration is an issue	Narrative strategy to remain in the news
451	fsYqmAswJx8	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
452	WE0MmXmpOs0	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
453	9emlkTBJkPM	There are too many immigrants coming	Immigration is out of control
454	azfIIdpaYy4	We represent the people	We are competent
455	eqD8jfVO9ko	None	None
456	NQd4h2M9TbA	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
457	qhrg5Kgz0fQ	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
458	buHqZX3VoP0	Promoting policy initiatives or ideas	We are competent
459	NeIUHrSZ5RQ	Immigrants are victims of false hope	Immigrants are victims
460	RqUZ4sGbAQw	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
461	4Lp5XRNFjgk	Promoting policy initiatives or ideas	We are competent
462	pfXWfpwoRJE	None	None
463	bxZo4tqxVuI	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
464	evt9nnRankI	Natives first	Immigration burdens the economy & welfare narrative
465	gPJSL0JcmtY	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
466	Y8srl72hvvM	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
467	uRmsxg9Php0	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
468	zjrwhLSis-s	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
469	AqR_NoTfOTA	Immigration is a threat to individual safety	Immigration is a threat
470	jxGJX_3q91w	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
471	VwPZ6WaKLpI	None	None
472	nwe5irR-lGQ	Blaming global elites	Immigration is part of a conspiracy
473	PUZk7AEqSR8	Our borders are strained and/or insufficiently controlled	Immigration is out of control
474	pY5hRE0Nsxs	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
475	PH3hwgcJcHw	None	None
476	vhZR4giJ6rM	There are too many immigrants coming	Immigration is out of control
477	4e3o1Z9mo50	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
478	NyZb9NNfYtM	None	None
479	1cCfskJMpMk	We stand for common sense	We are competent
480	PR_DnSETJB4	Reminder that immigration is an issue	Narrative strategy to remain in the news
481	E2xgzErE_vQ	Immigrants are victims of human traffickers.	Immigrants are victims
482	h2tjDEEqrjY	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
483	6nsqLyzsiRM	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
484	wBBZT-aGfcU	Our borders are strained and/or insufficiently controlled	Immigration is out of control
485	nK_4G8q3ODw	None	None
486	YqTCuhxwhO8	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
487	GAJgS8GziQ4	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
488	yqhn8h5iCro	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
489	wcHYkQB2WCk	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
490	UVPY6DABDrk	Our borders are strained and/or insufficiently controlled	Immigration is out of control
491	y2LeIvIYHvc	None	None
492	bkS8kY1WloI	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
493	KQ-ipJrJkiw	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
494	ihtWuMf2KIA	None	None
495	sU8C-hJXxnM	Our borders are strained and/or insufficiently controlled	Immigration is out of control
496	4vetttTBIio	There are too many immigrants coming	Immigration is out of control
497	Zw8KBk7lHms	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
498	S3yGcC2pH9k	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
499	BqWZ98mG3_M	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
500	AUTyIam78DU	Natives first	Immigration burdens the economy & welfare narrative
501	HCj9iTIi2fE	None	None
502	krB9Zv27hEo	None	None
503	QtI9Y3cU5EA	None	None
504	XhbEUcbNbmA	We will reinstate order	We are competent
505	GvgwjGfkB48	We represent the people	We are competent
506	ZkP6NLJzGG8	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
507	eO0887_1q78	Great replacement	Immigration is part of a conspiracy
508	bMaTYLyOS0s	Our borders are strained and/or insufficiently controlled	Immigration is out of control
509	VL5UNCwLPFs	We are being silenced	There is an unfair bias against our political camp
510	Zy9VBBLhxEU	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
511	oMJctEWidOI	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
512	5fJ21Rjc5ck	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
513	bDcbIMZeaEw	Promoting policy initiatives or ideas	We are competent
514	2rIH_7nbSWQ	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
515	GfP2fZMecQM	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
516	AXKF9dhO-Eo	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
517	VF4nWOI2x_s	There are too many immigrants coming	Immigration is out of control
518	OPcLcDvHGOE	Our borders are strained and/or insufficiently controlled	Immigration is out of control
519	cjG_rK6ZW2Y	We will reinstate order	We are competent
520	riu6k-NxDOw	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
521	LA8_WxveR7Y	None	None
522	8pnvf0ONR8c	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
523	OSys_GTZ75Q	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
524	CU6zfKG53xg	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
525	xFSJFk7OX7w	We stand for common sense	We are competent
526	c-3RROugI5s	Our borders are strained and/or insufficiently controlled	Immigration is out of control
527	ped1YynN25g	Let’s overthrow the establishment	It is Us vs. Them (the establishment)
528	uoy2UVUQqOU	None	None
529	BeNv4gMBKpc	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
530	FRjiReKFcQI	None	None
531	4HNRm_Mts5M	None	None
532	9x_ZeEoZF4U	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
533	dWYA5jNiHx8	Promoting policy initiatives or ideas	We are competent
534	Rou_7v5ZgLM	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
535	ryvxmIGJG2o	There are too many immigrants coming	Immigration is out of control
536	agxDrfN4df0	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
537	i0p9xnqLnWY	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
538	IlOL3kxMDnc	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
539	VsRfJctPvY0	Blaming global elites	Immigration is part of a conspiracy
540	enIuMnbMjTE	None	None
541	GsEtno2AqXI	None	None
542	_W-7zVe_un8	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
543	sMFXWO5-Ys8	Immigration is a threat to national security	Immigration is a threat
544	71YKQ_h9zyQ	Our borders are strained and/or insufficiently controlled	Immigration is out of control
545	zYIErcM4o-4	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
546	QFTjIgM3vIc	Anti-Elitism	It is Us vs. Them (the establishment)
547	cK0kYvsGC_s	Many immigrants are terrorists	Immigration is a threat
548	ETis7eNkeU8	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
549	tSpLOyI05Ow	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
550	8nLzs76Jx40	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
551	JAc3bUBsq6g	None	None
552	uCgLdjafJ0Q	Self-promotion	Narrative strategy to remain in the news
553	C1uRCy21of4	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
554	wrQcAINO4LY	None	None
555	T4thK7sVCwM	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
556	wOwBVc2T10Q	None	None
557	hHseegahOeo	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
558	sPb76lLYA6M	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
559	eLTuAxJomaU	None	None
560	trkT5PnVqj8	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
561	mrLliDv8Pns	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
562	4k-2GG8BJDk	Many immigrants are terrorists	Immigration is a threat
563	ssTjHVAujiY	Anti-Elitism	It is Us vs. Them (the establishment)
564	0J2gSdJYv_k	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
565	QjLhNdg1G6s	Immigrants are victims of false hope	Immigrants are victims
566	epGKhomjfHM	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
567	EDN2GlkgayQ	Anti-Elitism	It is Us vs. Them (the establishment)
568	rGDv1b9TBZU	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
569	F3-bv6Se43E	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
570	2jtZ0Bt8-Vk	Immigrants are victims of human traffickers.	Immigrants are victims
571	GTNO3sza0-g	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
572	jQc58thperc	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
573	BqPVleoFq_Y	Immigration is a threat to national security	Immigration is a threat
574	H391zby7UvM	None	None
575	oV4POdjLCtE	We are being silenced	There is an unfair bias against our political camp
576	LxQP_-Zb__E	None	None
577	lXieaqydrPo	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
578	icu1OFZZQZw	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
579	-Z6S70_bUh4	Our borders are strained and/or insufficiently controlled	Immigration is out of control
580	wEIW-IRAWaI	Anti-Elitism	It is Us vs. Them (the establishment)
581	g3YH9tBXY4Y	Let’s overthrow the establishment	It is Us vs. Them (the establishment)
582	z77Ha7qgJMI	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
583	OT3MYCMNOsQ	None	None
584	0dS4ya_CN3w	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
585	kAEqVak3SiI	None	None
586	YNWgJ3_gclw	None	None
587	gphTDi6xQqA	None	None
588	76m3aPl6BoE	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
589	305us-M8mB8	There are too many immigrants coming	Immigration is out of control
590	FU2eGyHN7o8	Immigration is a threat to individual safety	Immigration is a threat
591	g1Q4P_rugoM	Immigration is a threat to individual safety	Immigration is a threat
592	nYSkAhwyKCE	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
593	wW_k9-zUTAk	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
594	0Z0YpgCenSk	Promoting policy initiatives or ideas	We are competent
595	_P1WOBI1S-E	Natives first	Immigration burdens the economy & welfare narrative
596	jadaSq2P5bA	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
597	zTvK-FGPL6E	Immigration is a threat to national security	Immigration is a threat
598	f9zFKdFLT6Q	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
599	p8GEx3R7fS0	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
600	ycJsOEzzKi0	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
601	5P6nd11BKS0	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
602	91smBgaR7Is	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
603	9t8p0nkCkRk	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
604	u6ZmH-RUpb4	Promoting policy initiatives or ideas	We are competent
605	sY-vM6QT-yc	There are too many immigrants coming	Immigration is out of control
606	kYXSaGCYb2I	Our borders are strained and/or insufficiently controlled	Immigration is out of control
607	iVW_emEw-eE	Promoting policy initiatives or ideas	We are competent
608	fMqgjbYIMP4	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
609	SLZtzYfykz8	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
610	AOAiQfGMGFo	There are too many immigrants coming	Immigration is out of control
611	Ac153KpSr88	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
612	KGWbhV2wVDM	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
613	4g7GJnwoxu0	We are being silenced	There is an unfair bias against our political camp
614	YlLuEbmi-JA	Many immigrants are terrorists	Immigration is a threat
615	99rVEQc6Hfk	We stand for common sense	We are competent
616	bEQFggaEhz0	None	None
617	mFmu8JVAQ7Y	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
618	QWoz-7cCokY	We are being silenced	There is an unfair bias against our political camp
619	ZDuiDhwSunk	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
620	fxhZlQUH_3A	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
621	BkdzkJMMdHw	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
622	ttbwZCxPyaA	Immigration is a threat to individual safety	Immigration is a threat
623	uB6Ff9_XMZo	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
624	ilyAX0pH-0s	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
625	gaqqqUG3Q2I	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
626	8jFMHsVDsZE	Immigrants suffer from labour exploitation	Immigrants are victims
627	Mkb07J1hbck	None	None
628	vu1-vb6jLLU	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
629	LpLLYhslnnw	Self-promotion	Narrative strategy to remain in the news
630	KlL_sJX6e9k	Promoting policy initiatives or ideas	We are competent
631	owlipPxehhE	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
632	Im8mYMaqvds	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
633	uaTxBqX3hvk	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
634	FRsri8pfIL0	Promoting policy initiatives or ideas	We are competent
635	EVfzkAPqnDE	Self-promotion	Narrative strategy to remain in the news
636	Ef1gBpeIY7c	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
637	HlqaFbxScwA	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
638	-cq6PV_O0Eo	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
639	JSLiQLZfwEQ	Many immigrants are terrorists	Immigration is a threat
640	CDlRpD5kdCQ	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
641	pl-pMScMwQM	We will reinstate order	We are competent
642	UH3xeCF3HjI	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
643	kpna03VY3nc	Promoting policy initiatives or ideas	We are competent
644	pURZe-KCX50	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
645	aFQqF_S04GY	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
646	0kTE1UnLmBA	Natives first	Immigration burdens the economy & welfare narrative
647	pY0gjPBvPjE	We are being silenced	There is an unfair bias against our political camp
648	noV4RbOAmHE	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
649	OSUJ_UxKQCA	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
650	Sy5-QELRMKM	EU/MS do not have the means to properly take care of immigrants, therefore it is better for them not to come here.	Immigrants are victims
651	2aX3HP69k-g	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
652	jOOqcsyWSdg	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
653	3Ol_0QnAUug	Immigrants are victims of human traffickers.	Immigrants are victims
654	SjC7QYMNQK4	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
655	tIlaYS7Voqw	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
656	G4TdCZkACow	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
657	qIkc9l_JBec	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
658	QCP78U075B0	None	None
659	VN4OvBWbRU0	Immigration is a threat to individual safety	Immigration is a threat
660	fgDUeq3e29A	There are double-standards/ the system is corrupt	There is an unfair bias against our political camp
